sha,message,author,date
0881d62747fd0ffc81d6df1c52cebcd588202431,Merge pull request #15885 from NeoByteXx/develop,matheusaaguiar,2025-04-16T20:56:19Z
7d1dfa328ae2b0af3910f75a347f36e8e89f79cc,Merge pull request #15904 from Ferran969/improve-yulname-literal,matheusaaguiar,2025-04-16T20:31:40Z
687ad65ea1bb3450c20968b1f92160aa71718965,Merge pull request #15890 from eeemmmmmm/patch-2,matheusaaguiar,2025-04-16T20:27:35Z
771d8052df8947f781d126fea349734344941a3c,Fix typo in test script comments,NeoByteX,2025-02-22T07:33:10Z
f5134df9c081266f74be8deaa2f565da17c64bf2,Merge pull request #15827 from voronor/patch-2,matheusaaguiar,2025-04-16T20:07:56Z
0c28f4a229561ec0be3549864a5a1b1e175a34a3,Merge pull request #15897 from argentpapa/develop,matheusaaguiar,2025-04-16T20:06:16Z
da51fe4f87117bce42b28a93b4d6e252a740792f,Merge pull request #15924 from PixelPil0t1/patch-1,matheusaaguiar,2025-04-16T19:58:02Z
10b21b89a6c2c8a00ea27706497607d28bb4cf19,Replace temporary std::string with std::string_view in _yulname literal to avoid unnecessary allocations,ferranmesas@gmx.es,2025-02-28T21:52:40Z
7fee10296e3fbfba4a7faaf1fc75560b9bf704d7,Merge pull request #15891 from Bilogweb3/develop,matheusaaguiar,2025-04-16T19:45:23Z
ab77b34e67ae6327f80bdd5098889243b3a86d66,Update ControlFlowGraphBuilder.h,emmmm,2025-02-26T08:43:24Z
27f915c273ddd24c2707fa015a20f1654426c156,Merge pull request #14931 from mattaereal/develop,matheusaaguiar,2025-04-16T19:44:08Z
ba3fd65cfbc2450d538229febf87ea3863230a67,docs: Fix grammar in workflow trigger condition,Voronor,2025-02-04T13:23:39Z
feed69b5cac1e9519b881878b6595a2ee893835f,Update calling_nonexisting_contract.sol,argentpapa,2025-02-27T17:17:33Z
eda68d51fdefd92186bb4390d8b2eaaae2bf7c93,Update events.rst,PixelPilot,2025-03-11T14:15:18Z
8b85d14f7d1e3cbb476434dec2af60c456af7fe4,Update custom.css,Bilog WEB3,2025-02-26T08:50:31Z
513535a75849bf18c44e24f31e56aad4d1b4b94f,Adding clarity on extcalls with precompiled contracts.,matta,2024-03-08T20:17:06Z
db53ca5735042899993d68b5a8fca2effe48819a,Merge pull request #15932 from ethereum/releasePPAScript,clonker,2025-04-15T09:42:57Z
cc6a9cf7738c01addf06057b49ab9b48ca807840,Merge pull request #15966 from futreall/develop,Nikola Matić,2025-04-14T13:36:46Z
a1be4f313dd4120b5cb5994fe93f03c76e1de9ba,Update publisher.sol,futreall,2025-03-25T16:41:58Z
1706158dbb4e2525695c8cef023b87b37052af4c,Update premium.sol,futreall,2025-03-25T16:41:27Z
08310eba5e78d35192247d59e95561555f1a9c9b,Merge pull request #15980 from henryhchchc/develop,Nikola Matić,2025-04-14T11:52:06Z
597e5a952c2c4c9ad86b16cf0fcbfe9176afb8bf,Merge pull request #16004 from closeobserve/closeobserve_feature,Nikola Matić,2025-04-14T11:45:06Z
f1c3a2d6eb2e071d5b09a0a472fd5871e342f83f,chore: remove redundant word in comment,closeobserve,2025-04-13T11:13:59Z
e1bf0624faa629fc1a1899b777ed83ba3e01c333,Merge pull request #16005 from ethereum/soften_macos_pedantic_switch,clonker,2025-04-14T09:17:47Z
