sha,message,author,date
0642db65d656a51d4df21b8d03dd38124ad0e7b3,Update foundryup command to use correct flag (#528),Ahsan Shahab,2025-03-11T18:56:02Z
b1a15b2149a1c9dd71b5e73fb8911e438a36d4c8,Remove verification_artifacts/ from ignore files,Aloysius Chan,2024-12-24T19:18:16Z
1452c658abd15846d7194f4ced5c8e6c88b5079c,Update HackerOne program link (#487),Vince Chiang,2024-12-09T16:57:12Z
a4ba37d0495b1c979ff0dcfdbad2e5e076828208,Automated Bytecode Verification for Tokens Following the Bridged USDC Standard (#474),Alex Kroeger,2024-10-28T21:30:15Z
574b947dfcfcb5fa05b46d8961ece29e06b14129,"add a GitHub workflow for automated bytecode verification, update bridged USDC standard documentation, update the entity name in copyright headers",Alex Kroeger,2024-10-28T20:54:28Z
f64f01f93ea4e4b3a88be1de716fc0ada88f798c,chore(deps): gha node 20 upgrade (#463),Aloysius Chan,2024-06-21T00:52:09Z
f6a88cc58a05b00e730d318a2bdcc27fb83f4569,chore(deps): gha node 20 upgrade,Ze Peng,2024-06-19T15:43:18Z
806a40c51d8124116d585abbea441d85d014af6b,Update bridged USDC standard (#458),Aloysius Chan,2024-05-21T16:57:44Z
415a4c79e9360fb6352eb90826349a6baf76f7ef,Update bridged USDC standard,Aloysius Chan,2024-05-20T20:47:27Z
0fef359a24f1e5d27f5c467776e1560e75a24713,Fix Foundry installation and make miscellaneous changes (#455),Aloysius Chan,2024-05-06T20:02:32Z
65a726edbf9857b333267b9e9a9da6ab83371118,Fix Foundry installations and make miscellaneous changes,Aloysius Chan,2024-05-03T07:50:07Z
501555c10db58434ebe2583d204776836bc8b434,Add Celo related files (#453),Aloysius Chan,2024-04-30T22:16:23Z
740611582052fcb2a698d11c282e20dd2c6cb197,Add Celo related files,Zhenghui Wang,2024-04-22T23:20:35Z
2af605e87740006c4a71e42f27746b83c1566b5b,Modernize development environment (#442),Erik Tierney,2024-04-01T17:57:24Z
ca48b2cc83e509bb74dd340990b80ed23565a9cc,Fix pr-scan workflow and flaky tests,Aloysius Chan,2024-03-29T18:18:13Z
c582e58f691cc0cc7df1c85b6ac07267f8861520,Modernize development environment,Aloysius Chan,2024-03-27T21:14:11Z
0828084aec860712531e8d79fde478927a34b3f4,Update bridged_USDC_standard.md (#441),Boyan Lin,2024-03-15T21:51:20Z
74027afccce9ae867b012524ce61f5cabdd6df3f,Update bridged_USDC_standard.md (#440),Boyan Lin,2024-03-14T20:04:25Z
657375471bff72afa5f625083bbab8003eb5f8c9,chore(ci): implement code scanning (#435),Jake Scaltreto,2024-01-23T20:30:21Z
87d4413fdd737591f907f5fc5745805b708ad9dc,Link to Bridged USDC Standard doc from README (#429),ams9198,2023-11-27T18:33:42Z
bd3c07f5cd6c89793dd9f6a4ebfeec5e5d01846d,Rejigger ordering,Adrian Soghoian,2023-11-27T16:40:11Z
13d87ed8d81e9aeb279a508e1359aa7bb2c5266a,Update README to included Bridged USDC Standard doc,Adrian Soghoian,2023-11-27T16:37:34Z
dd3ee171ad1048579dbcc1a96952b549a62edc42,Add documentation for Bridged USDC Standard (#428),Erik Tierney,2023-11-21T13:37:23Z
c87173e7f0a05226d0e0af576084fb9e93eb1c62,Add documentation for Bridged USDC Standard,Adrian Soghoian,2023-11-20T21:34:31Z
405efc100c016ed1a437063b6274b4e24ea7b8b1,Merge pull request #425 from yvonnezhangc/release_v2_2,Yvonne Zhang,2023-11-09T13:55:45Z
dd6fb3313f9b52b899ce6ac79a2e05205a1bf34d,Add CHANGELOG.md,Aloysius Chan,2023-10-24T18:49:11Z
acdd0592582828a31f10e98bcd37880e69d1aa14,Update validateAccountsToBlacklist,Aloysius Chan,2023-10-24T14:31:42Z
35d66ae39f7038e30f04f87635f8bca6f8e38b04,Add migration option to directly deploy v2.2 token,Yvonne Zhang,2023-10-19T14:38:11Z
