Release Tag,Published At,Commit SHA,Commit Message,Author,Commit Date
v0.8.0,2020-12-16T17:40:49Z,c7dfd78e57c5ad7abd485dc1cc13d8f0ab09d431,Merge pull request #10636 from ethereum/smt_fix_constant,chriseth,2020-12-16T17:04:09Z
v0.8.0,2020-12-16T17:40:49Z,f5c96ea6dad22b75f4305852cdc501d6fee92b4d,Fix constant evaluation build,Leonardo Alt,2020-12-16T16:58:49Z
v0.8.0,2020-12-16T17:40:49Z,b252ab08a9830303d8511b843ec7f49500f8e7d0,Merge pull request #10632 from ethereum/sortChangelog,chriseth,2020-12-16T16:02:03Z
v0.8.0,2020-12-16T17:40:49Z,9cfdba6e646f6eed3ab7e8e5bfd0bd7643d3c3ce,Update bug list.,chriseth,2020-12-16T15:20:33Z
v0.8.0,2020-12-16T17:40:49Z,e5a8a9e6eda544d5946145f31a525872ef448e7e,Sort changelog and set release date.,chriseth,2020-12-16T15:10:52Z
v0.8.0,2020-12-16T17:40:49Z,3a23df6717178bedc4ed2623e056ce14d503d414,Merge remote-tracking branch 'origin/develop' into breaking,chriseth,2020-12-16T15:56:45Z
v0.8.0,2020-12-16T17:40:49Z,7338295feebfb3f044e265d5cf05ef1841b258b1,Merge pull request #10623 from ethereum/smt_const_expr,chriseth,2020-12-16T14:39:16Z
v0.8.0,2020-12-16T17:40:49Z,3d0e8aa69c10fac848814fa6ddd7fb7cb47a4f33,Merge pull request #10630 from ethereum/setReleaseDate,chriseth,2020-12-16T14:25:20Z
v0.8.0,2020-12-16T17:40:49Z,33cc26f32ead0b9a547eba3877f64865127c723a,Merge pull request #10628 from ethereum/fix-line-endings-in-unicode-direction-override-test,chriseth,2020-12-16T14:25:06Z
v0.8.0,2020-12-16T17:40:49Z,34e21c929a605609dde8ff1543c2f61bb7eb6600,Fix a test for unicode direction override failing because of Windows line endings,Kamil Śliwak,2020-12-16T13:53:08Z
v0.8.0,2020-12-16T17:40:49Z,7f677025ec7bec3e0f3309f41e9412189d0a9466,Set release date for 0.7.6.,chriseth,2020-12-16T14:01:45Z
v0.8.0,2020-12-16T17:40:49Z,80e85b772be4d9366675ba2f5ee07ee2e3325796,[SMTChecker] Apply const eval to arithmetic binary expressions,Leonardo Alt,2020-12-16T10:27:56Z
v0.8.0,2020-12-16T17:40:49Z,eec1e2a66c4dae38aa02f24865ece5f9ff92bb46,Merge pull request #10626 from ethereum/howToUpdateYourCode,chriseth,2020-12-16T13:45:45Z
v0.8.0,2020-12-16T17:40:49Z,f31cf6b9b5bcfa007d606b8d3fa82779166a90cd,How to update your code.,chriseth,2020-12-16T11:31:20Z
